annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
202,Papiamento,Cua ta e origen di e celebracion di carnaval na Aruba?,What is the origin of the carnaval celebration in Aruba?,pap-01,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
202,Papiamento,Dicon nos ta toca dande aña nobo?,Why do we play 'dande' (special traditional song played live with instruments and singers) on new year?,pap-02,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
202,Papiamento,Dicon Aruba a lucha pa haya su status aparte?,Why did Aruba choose to have its own identity?,pap-03,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
202,Papiamento,Dicon Aruba ta conoci como 'isla de los gigantes'?,Why is Aruba known as 'island of the giants'?,pap-04,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
202,Papiamento,Con nos ta traha pan bati?,How do we make 'pan bati' (smashed bread)?,pap-05,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
488,Papiamento,Kua ta e historia di Kòrsou i kon e ta influensia e kultura aktual?,"What is the colonial history of Curaçao, and how has it influenced the island's current culture?",pap-06,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
488,Papiamento,Kua ta e prinsipalnan sektornan ekonómiko di Kòrsou i kon e evolushon di ekonomia tabata den e lastu añanan?,"What are the main economic sectors of Curaçao, and how has the economy evolved in recent years?",pap-07,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
488,Papiamento,Kua ta e retonan di medio ambiente ku Kòrsou ta enfrentá i kon Kòrsou ta enfrentá e problemanan aki?,"What environmental challenges are facing Curacao, and how is the island addressing these issues?",pap-08,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
488,Papiamento,Kon Kòrsou ta selebrá diversidat i kua ta e dianan di fiesta mas importante?,"How is cultural diversity celebrated in Curaçao, and what are some of the most important festivities?",pap-09,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
488,Papiamento,Kua ta e situashon polítiko aktual di Korsou i kua ta e temanan prinsipal di debate den sosiedat?,"What is the current political situation in Curaçao, and what are the main debate topics in society?",pap-10,pap,TRUE,FALSE,TRUE,3625,22,Portuguese-based creole,Afro-Portuguese,analytic,Latin,SVO,"Aruba, Curaçao, Bonaire",300K,FALSE
