annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
333,Faroese,Hví halda vit Ólavssøku?,Why do we celebrate St. Olaf's Day or Wake (29 July)?,fo-01,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,"Hví siga vit ""Ull er Føroya Gull""?","From whence does the saying ""Wool is the Faroese Gold"" stem from?",fo-02,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví halda vit Ovastevnu?,Why do we celebrate Ovastevna?,fo-03,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví eitur tað Føroyar?,Why is it called the Faroe Islands?,fo-04,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví læra vit danskt í fólkaskúlanum?,Why is Danish taught in primary school?,fo-05,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví eitur okkara høvuðsstaður Tórshavn?,From where derives our capitals name 'Tórshavn'?,fo-06,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat er er Nólsoyar Páll kendur fyri?,What is Nólsoyar Páll famous for?,fo-07,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvussu doyði Sigmundur Brestirsson?,How did Sigmundur Bestirsson die?,fo-08,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví leyp Tróndur í Gøtu á Sigmund Brestirsson?,Why did Tróndur í Gøtu attack Sigmundur Brestirsson?,fo-09,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví er sjógvurin í Føroyum lutfalsliga heitur?,Why is the sea around the Faroe Islands relatively warm?,fo-10,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvørji fíggjarlig viðurskifti fingu nógvar føroyingar at flyta av landinum fyrst í 90'unum?,Which financial circumstances forced a lot of faroese people to move abroad in the early nineties?,fo-11,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví eru vørur framleiddar í ES tollfríar í Føroyum?,"Why are goods, produced in the EU, exempt from customs?",fo-12,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví sita tveir føroyskir politikarar í fólkatinginum?,Why are two faroese politicians seated in the danish 'Folketing'?,fo-13,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat tilknýti hevur James Bond til Føroyar?,What relation does James Bond have to the Faroe Islands?,fo-14,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat er V.U. Hammershaimb kendur fyri?,What is V.U.Hammershaimb famous for?,fo-15,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat er søgan aftanfyri rinkusteinarnir í Oyndarfirði?,What is the story behind the 'Rocking stones' in Oyndarfjørður?,fo-16,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví halda vit Flaggdagin?,Why do we celebrate 'Flaggdagin'?,fo-17,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví fáa Føroyar neiligt uppmerksemi orsaka av djóravælferð?,Why do we receive negative publicity regarding animal welfare?,fo-18,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvør er upprunin til føroyskan dans?,Wherefrom does the Faroese Dance originate?,fo-19,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat er Heini havreki kendur fyri?,Why is Heini Havreki famous?,fo-20,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat er sermekt við Tinganesi?,What is special about Tinganes?,fo-21,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hví likist tað føroyska málið meira norskum enn donskum?,Why does the Faroese language resemble Norwegian more than danish?,fo-22,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,"Hví loystu Føroyar ikki frá Danmark í 1946, hóast meirluti ynskti loysing?","Why didn't we sever with Denmark in 1946, despite majority votes in favor of severance?",fo-23,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat snúði klaksvíksstríðið seg um?,What was the 'klaksvíksstríðið' (feud of Klaksvík) all about?,fo-24,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
333,Faroese,Hvat snýr ósemjan um 'gongd í haga' seg um?,What are the arguing points in the feud regarding 'mountain hiking'?,fo-25,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
572,Faroese,Hví hava útróður og fiskivinna týdning í samfelagnum í dag?,Why are boat fishing and the fishing industry important in today's society?,fo-26,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
572,Faroese,Hvussu hevur seyðahald ávirkað Føroyar búskaparliga og umhvørvisliga?,How has sheep farming affected the Faroe Islands economically and environmentally?,fo-27,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
572,Faroese,Hvussu hevur veðurlagið merkt byggisiðvenjur?,How has the climate influenced building traditions?,fo-28,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
572,Faroese,Hvør er mentanarligi týdningurin av kvæðunum?,What is the cultural significance of the ballads?,fo-29,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
572,Faroese,Hvørji serlig eyðkenni hevur føroysk matmentan?,What specific characteristics does Faroese food culture have?,fo-30,fo,TRUE,FALSE,TRUE,14060,335,Indo-European,Germanic,fusional,Latin,SVO,"Faroe Islands, Denmark",69K,TRUE
